Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7165091717620901,0.3360655737704918,0.9111111111111111,0.49101796407185627,0.868931521449507
Random Forest,0.6614785992217899,0.20725388601036268,0.4444444444444444,0.2826855123674912,0.725205290313204
XGBoost,0.7948860478043357,0.4064272211720227,0.7962962962962963,0.5381727158948686,0.7888997892595014
